tconst,primaryTitle,startYear,endYear,rank,averageRating,numVotes,directors,writers,genres,IMDbLink,Title_IMDb_Link,Title,Released,Genre,Runtime,imdbRating,imdbVotes,BoxOffice
tt4236770,Yellowstone,2018,2024.0,82,8.6,276791,"Stephen Kay, Taylor Sheridan, Christina Alexandra Voros, Guy Ferland, John Dahl, Ed Bianchi, Ben Richardson, Michael Friedman","John Linson, Taylor Sheridan, Brett Conrad, John Coveny, Eric Jay Beck, Ian McCulloch","Drama, Western","<a href=""https://www.imdb.com/title/tt4236770"" target=""_blank"">tt4236770</a>","<a href=""https://www.imdb.com/title/tt4236770"" target=""_blank"">Yellowstone</a>",Yellowstone,20 Jun 2018,"Drama, Western",60 min,8.6,"275,083",
tt6741278,Invincible,2021,,83,8.7,276595,"Dan Duncan, Jeff Allen, Shaun O'Neil, Sol Choi, Ian Abando, Tanner Johnson, Jason Zurek, Haylee Herrick, Paul Furminger, Jay Baker, Cory Evans, Jae Harm, Vinton Heuck, William Ruzicka, Robert Valley","Robert Kirkman, Ryan Ottley, Cory Walker, Simon Racioppa, Helen Leigh, Chris Black, Curtis Gwinn, Christine Lavaf, Ryan Ridley, Matt Lambert, Adria Lang, Vivian Lee, Jay Faerber, Tania Lotia, Helen Shang, Ross Stracke","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt6741278"" target=""_blank"">tt6741278</a>","<a href=""https://www.imdb.com/title/tt6741278"" target=""_blank"">Invincible</a>",Invincible,26 Mar 2021,"Animation, Action, Adventure",N/A,8.7,"276,167",
tt0804503,Mad Men,2007,2015.0,84,8.7,275686,"Phil Abraham, Michael Uppendahl, Jennifer Getzinger, Matthew Weiner, Scott Hornbacher, Lesli Linka Glatter, Tim Hunter, John Slattery, Andrew Bernstein, Alan Taylor, Chris Manley, Jon Hamm, Ed Bianchi, Paul Feig, Barbet Schroeder, Daisy von Scherler Mayer, Lynn Shelton, Matt Shakman, Jared Harris","Matthew Weiner, Jonathan Igla, Erin Levy, Robin Veith, Carly Wray, Kater Gordon, Brett Johnson, Cathryn Humphris, André Jacquemetton, Maria Jacquemetton, Lisa Albert, Semi Chellas, Dahvi Waller, Bridget Bedard, Tom Palmer, Chris Provenzano, Marti Noxon, Janet Leahy, Jonathan Abrahams, Victor Levin, Tom Smuts, Jane Anderson, Rick Cleveland, Andrew Colville, Keith Huff, Tracy McMillan, Frank Pierson, Jason Grote, Heather Jeng Bladt, David Iserson",Drama,"<a href=""https://www.imdb.com/title/tt0804503"" target=""_blank"">tt0804503</a>","<a href=""https://www.imdb.com/title/tt0804503"" target=""_blank"">Mad Men</a>",Mad Men,19 Jul 2007,Drama,47 min,8.7,"276,112",
tt4786824,The Crown,2016,2023.0,85,8.6,270641,"Benjamin Caron, Philip Martin, Christian Schwochow, Jessica Hobbs, Stephen Daldry, Julian Jarrold, May el-Toukhy, Alex Gabassi, Erik Richter Strand, Paul Whittington, Philippa Lowthorpe, Samuel Donovan","Peter Morgan, Jonathan Wilson, Edward Hemming, Daniel Marc Janes, Meriel Sheibani-Clare, Laura Deeley, Jon Brittain, Tom Edge, Nick Payne, Duncan Macmillan, Amy Jenkins, James Graham, David Hancock, Malcolm McGonigle","Biography, Drama, History","<a href=""https://www.imdb.com/title/tt4786824"" target=""_blank"">tt4786824</a>","<a href=""https://www.imdb.com/title/tt4786824"" target=""_blank"">The Crown</a>",The Crown,04 Nov 2016,"Biography, Drama, History",58 min,8.6,"269,973",
tt1606375,Downton Abbey,2010,2015.0,86,8.7,235073,"Brian Percival, David Evans, Philip John, Andy Goddard, Catherine Morshead, Minkie Spiro, Brian Kelly, Michael Engler, Ben Bolt, Ashley Pearce, James Strong, Jeremy Webb, Edward Hall, Jon East","Julian Fellowes, Tina Pepler, Shelagh Stephenson","Drama, Romance","<a href=""https://www.imdb.com/title/tt1606375"" target=""_blank"">tt1606375</a>","<a href=""https://www.imdb.com/title/tt1606375"" target=""_blank"">Downton Abbey</a>",Downton Abbey,09 Jan 2011,"Drama, Romance",58 min,8.7,"235,399",
tt0098936,Twin Peaks,1990,1991.0,87,8.7,232140,"David Lynch, Lesli Linka Glatter, Caleb Deschanel, Duwayne Dunham, Tim Hunter, Todd Holland, Tina Rathborne, Graeme Clifford, Mark Frost, Uli Edel, James Foley, Stephen Gyllenhaal, Diane Keaton, Jonathan Sanger","Mark Frost, David Lynch, Harley Peyton, Robert Engels, Barry Pullman, Tricia Brock, Scott Frost, Jerry Stahl","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt0098936"" target=""_blank"">tt0098936</a>","<a href=""https://www.imdb.com/title/tt0098936"" target=""_blank"">Twin Peaks</a>",Twin Peaks,08 Apr 1990,"Crime, Drama, Mystery",1 min,8.7,"232,520",
tt0098936,Twin Peaks,1990,1991.0,87,8.7,232140,"David Lynch, Lesli Linka Glatter, Caleb Deschanel, Duwayne Dunham, Tim Hunter, Todd Holland, Tina Rathborne, Graeme Clifford, Mark Frost, Uli Edel, James Foley, Stephen Gyllenhaal, Diane Keaton, Jonathan Sanger","Mark Frost, David Lynch, Harley Peyton, Robert Engels, Barry Pullman, Tricia Brock, Scott Frost, Jerry Stahl","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt0098936"" target=""_blank"">tt0098936</a>","<a href=""https://www.imdb.com/title/tt0098936"" target=""_blank"">Twin Peaks</a>",Twin Peaks,08 Apr 1990,"Crime, Drama, Mystery",1 min,8.7,"232,520",
tt5687612,Fleabag,2016,2019.0,88,8.7,227835,"Harry Bradbeer, Tim Kirkby",Phoebe Waller-Bridge,"Comedy, Drama","<a href=""https://www.imdb.com/title/tt5687612"" target=""_blank"">tt5687612</a>","<a href=""https://www.imdb.com/title/tt5687612"" target=""_blank"">Fleabag</a>",Fleabag,16 Sep 2016,"Comedy, Drama",27 min,8.7,"226,594",
tt4508902,One Punch Man,2015,,89,8.7,202458,"Shingo Natsume, Chikara Sakurai, Shin'ichirô Ushijima, Yôsuke Hatta, Nobuhiro Mutô, Shun'ichi Yoshizawa, Akitsugu Hisagi, Ryô Andô, Shûji Miyazaki, Makoto Sokuza, Minoru Yamaoka, Shigeki Awai, Toshinori Fukushima, Miyuki Ishida, Kôzô Kaihô, Tomohiro Kamitani, Hideki Okamoto, Hiroyuki Okuno, Katsushi Sakurabi, Yoshio Suzuki, Yôhei Suzuki","Mike McFarland, Yusuke Murata, One, Tomohiro Suzuki","Action, Animation, Comedy","<a href=""https://www.imdb.com/title/tt4508902"" target=""_blank"">tt4508902</a>","<a href=""https://www.imdb.com/title/tt4508902"" target=""_blank"">One Punch Man</a>",One Punch Man,05 Oct 2015,"Animation, Action, Comedy",24 min,8.7,"201,415",
tt0988824,Naruto: Shippuden,2007,2017.0,90,8.7,198856,"Hayato Date, Masaaki Kumagai, Kiyomu Fukuda, Hiroshi Kimura, Atsushi Nigorikawa, Shigeharu Takahashi, Yûki Kinoshita, Masahiko Murata, Naoki Horiuchi, Toshiyuki Tsuru, Eitarô Ano, Shuu Watanabe, Kunitoshi Okajima, Yûsuke Onoda, Hiroyoshi Kishikawa, Seiki Takuno, Yoshihiro Sugai, Kazunori Mizuno, Shinji Satô, Maki Odaira, Masaharu Watanabe, Osamu Kobayashi, Mitsutaka Noshitani, Ken'ichi Nishida, Hiroyuki Yamashita, Chiaki Kon, Masayuki Matsumoto, Masato Kitagawa, Osamu Sekita, Hayato Gôda, Yuki Sugihara, Takahiro Ono, Yuuki Arie, Fujiaki Asari, Toshiaki Kanbara, Yasumi Mikamoto, Masahiro Takada, Minoru Yamaoka, Akitoshi Yokoyama, Yasuhiro Minami, Eiko Nishi, Takahiro Okao, Atsushi Wakabayashi, Hideyuki Yoshida, Mitsutoshi Satô, Chiyuki Tanaka, Hiroyuki Tsuchiya, Daisuke Tsukushi, Hideaki Uehara, Chikara Sakurai, Tomokazu Iwasaki, Yoshinori Odaka, Akira Shimizu, Masayuki Yamada, Toshiro Fujii, Kazuya Iwata, Kiyoshi Murayama, Ayumu Ono, Mitsuto Yamaji","Masashi Kishimoto, Junki Takegami, Masahiro Hikokubo, Yasuyuki Suzuki, Shin Yoshida, Yuka Miyata, Satoru Nishizono, Katsuhiko Chiba, Liam O'Brien, Toshiyuki Tsuru, Daisuke Watanabe, Kento Shimoyama, Masanao Akahoshi, Osamu Kobayashi, Hideto Tanaka","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0988824"" target=""_blank"">tt0988824</a>","<a href=""https://www.imdb.com/title/tt0988824"" target=""_blank"">Naruto: Shippuden</a>",Naruto: Shippuden,28 Oct 2009,"Animation, Action, Adventure",24 min,8.7,"196,375",
tt0384766,Rome,2005,2007.0,91,8.7,195384,"Michael Apted, Mikael Salomon, Allen Coulter, Alan Poul, Steve Shill, Timothy Van Patten, Alan Taylor, John Maybury, Julian Farino, Jeremy Podeswa, Adam Davidson, Carl Franklin, Alik Sakharov, Roger Young","Bruno Heller, William J. MacDonald, John Milius, Scott Buck, Todd Ellis Kessler, Mere Smith, Alexandra Cunningham, David Frankel, Adrian Hodges, Eoghan Mahony","Action, Drama, Romance","<a href=""https://www.imdb.com/title/tt0384766"" target=""_blank"">tt0384766</a>","<a href=""https://www.imdb.com/title/tt0384766"" target=""_blank"">Rome</a>",Rome,28 Aug 2005,"Action, Drama, Romance",52 min,8.7,"195,627",
tt0407362,Battlestar Galactica,2004,2009.0,92,8.7,182433,"Michael Rymer, Michael Nankin, Rod Hardy, Sergio Mimica-Gezzan, Robert M. Young, Edward James Olmos, Jeff Woolnough, Wayne Rose, Allan Kroeker, Félix Enríquez Alcalá, Marita Grabiak, Brad Turner, Jonas Pate, Jean de Segonzac, Bill Eagles, James Head, Reynaldo Villalobos, Paul A. Edwards, Anthony Hemingway, John Dahl, Gwyneth Horder-Payton, Ronald D. Moore","Glen A. Larson, Ronald D. Moore, Carla Robinson, Bradley Thompson, David Weddle, Anne Cofell Saunders, Seamus Kevin Fahey, Joel Anderson Thompson, Mark Verheiden, Michael Angeli, Michael Taylor, David Eick, Jane Espenson, Jeff Vlaming, Toni Graphia, Michael Rymer, Dawn Prestwich, Nicole Yorkin, Ryan Mottesheard","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0407362"" target=""_blank"">tt0407362</a>","<a href=""https://www.imdb.com/title/tt0407362"" target=""_blank"">Battlestar Galactica</a>",Battlestar Galactica,14 Jan 2005,"Action, Adventure, Drama",44 min,8.7,"182,582",
tt0407362,Battlestar Galactica,2004,2009.0,92,8.7,182433,"Michael Rymer, Michael Nankin, Rod Hardy, Sergio Mimica-Gezzan, Robert M. Young, Edward James Olmos, Jeff Woolnough, Wayne Rose, Allan Kroeker, Félix Enríquez Alcalá, Marita Grabiak, Brad Turner, Jonas Pate, Jean de Segonzac, Bill Eagles, James Head, Reynaldo Villalobos, Paul A. Edwards, Anthony Hemingway, John Dahl, Gwyneth Horder-Payton, Ronald D. Moore","Glen A. Larson, Ronald D. Moore, Carla Robinson, Bradley Thompson, David Weddle, Anne Cofell Saunders, Seamus Kevin Fahey, Joel Anderson Thompson, Mark Verheiden, Michael Angeli, Michael Taylor, David Eick, Jane Espenson, Jeff Vlaming, Toni Graphia, Michael Rymer, Dawn Prestwich, Nicole Yorkin, Ryan Mottesheard","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0407362"" target=""_blank"">tt0407362</a>","<a href=""https://www.imdb.com/title/tt0407362"" target=""_blank"">Battlestar Galactica</a>",Battlestar Galactica,14 Jan 2005,"Action, Adventure, Drama",44 min,8.7,"182,582",
tt5555260,This Is Us,2016,2022.0,93,8.7,168283,"Ken Olin, Chris Koch, Glenn Ficarra, John Requa, Kevin Hooks, Anne Fletcher, George Tillman Jr., Rebecca Asher, Milo Ventimiglia, Jessica Yu, Yasu Tanida, Kay Oyegun, Uta Briesewitz, John Fortenberry, Zetna Fuentes, Catherine Hardwicke, Sarah Boyd, Roxann Dawson, Justin Hartley, Jon Huertas, Sarah Pia Anderson, Silas Howard, Helen Hunt, Craig Zisk, Timothy Busfield, Regina King, Wendey Stanzler, Joanna Kerns, Kevin Rodney Sullivan, Mandy Moore, Glenn Steelman, Chris Sullivan, James Takata","Dan Fogelman, Laura Kenar, Eboni Freeman, Jon Dorsey, Kay Oyegun, Danielle Bauman, Jonny Gomez, Jas Waters, Aurin Squire, Isaac Aptaker, Elizabeth Berger, K.J. Steinberg, Vera Herbert, Kevin Falls, Bekah Brunstetter, Julia Brownell, Casey Johnson, David Windsor, Shukree Tilghman, Elan Mastai, Jake Schnesel, Joe Lawson, Donald Todd, Don Roos, Tim O'Brien, Tyler Bensinger, Chrissy Metz, Susan Kelechi Watson","Comedy, Drama, Romance","<a href=""https://www.imdb.com/title/tt5555260"" target=""_blank"">tt5555260</a>","<a href=""https://www.imdb.com/title/tt5555260"" target=""_blank"">This Is Us</a>",This Is Us,20 Sep 2016,"Comedy, Drama, Romance",45 min,8.7,"167,538",
tt0248654,Six Feet Under,2001,2005.0,94,8.7,159155,"Alan Ball, Daniel Attias, Rodrigo García, Jeremy Podeswa, Kathy Bates, Michael Cuesta, Michael Engler, Alan Poul, Daniel Minahan, Miguel Arteta, Nicole Holofcener, Lisa Cholodenko, Allen Coulter, Jim McBride, John Patterson, Alan Taylor, Rose Troche, Karen Moncrieff, Peter Care, Alan Caso, Peter Webber, Adam Davidson, Mary Harron, Joshua Marston, Matt Shakman","Alan Ball, Craig Wright, Nancy Oliver, Rick Cleveland, Kate Robin, Bruce Eric Kaplan, Scott Buck, Joey Soloway, Laurence Andries, Christian Taylor, Christian Williams, Johnny Otto, Tim Williams","Comedy, Drama","<a href=""https://www.imdb.com/title/tt0248654"" target=""_blank"">tt0248654</a>","<a href=""https://www.imdb.com/title/tt0248654"" target=""_blank"">Six Feet Under</a>",Six Feet Under,03 Jun 2001,"Comedy, Drama",55 min,8.7,"159,421",
tt5788792,The Marvelous Mrs. Maisel,2017,2023.0,95,8.7,151321,"Amy Sherman-Palladino, Daniel Palladino, Scott Ellis, Jamie Babbit, Daniel Attias, Daisy von Scherler Mayer","Amy Sherman-Palladino, Daniel Palladino, Kate Fodor, Noah Gardenswartz, Jen Kirkman, Alison Leiby, Jordan Temple, Sheila Lawrence, Isaac Oliver","Comedy, Drama","<a href=""https://www.imdb.com/title/tt5788792"" target=""_blank"">tt5788792</a>","<a href=""https://www.imdb.com/title/tt5788792"" target=""_blank"">The Marvelous Mrs. Maisel</a>",The Marvelous Mrs. Maisel,17 Mar 2017,"Comedy, Drama",57 min,8.7,"150,879",
tt0092455,Star Trek: The Next Generation,1987,1994.0,96,8.7,144023,"Cliff Bole, Les Landau, Winrich Kolbe, Rob Bowman, Robert Scheerer, Robert Wiemer, Jonathan Frakes, Gabrielle Beaumont, Alexander Singer, Corey Allen, Paul Lynch, Patrick Stewart, Joseph L. Scanlan, David Carson, Chip Chalmers, James L. Conway, Robert Becker, Timothy Bond, Tom Benko, Robert Legato, David Livingston, Peter Lauritson, Robert Lederman, Adam Nimoy, LeVar Burton, Richard A. Colla, Richard Compton, Russ Mayberry, Kim Manners, Win Phelps, Michael Ray Rhodes, Michael Vejar, Robert Iscove, Larry Shaw, Marvin V. Rush, Dan Curry, Gates McFadden, Jonathan West","Gene Roddenberry, René Echevarria, Brannon Braga, Ronald D. Moore, Naren Shankar, Joe Menosky, David Carren, J. Larry Carroll, Melinda M. Snodgrass, Tracy Tormé, Hans Beimler, Richard Manning, Michael Piller, Jeri Taylor, Maurice Hurley, Hannah Louise Shearer, Leonard Mlodinow, Scott Rubenstein, Richard Danus, D.C. Fontana, Rick Berman, Herbert Wright, Johnny Dawkins, Robert Lewin, Jean Louise Matthias, Ronald Wilkerson, Sandy Fries, Michael I. Wagner, Hilary Bader, Shari Goodhartz, Ira Steven Behr, Stuart Charno, Sara B. Cooper, Peter Allan Fields, Frank Abatemarco, John D.F. Black, Arthur Conan Doyle, Burton Armus, Robert Sabaroff, David Kemper, Robert McCullough, Dennis Bailey, David Bischoff, Fred Bronson, Susan Sackett, Drew Deighan, Philip LaZebnik, Morgan Gendel, Christopher Hatton, Nick Sagan, Michael Baron, Diane Duane, Larry Forrester, Michael Halperin, Richard Krzemien, Lan O'Kun, Katharyn Powers, Michael Reaves, Worley Thorne, Patrick Barry, Mona Clee, Deborah Dean Davis, Lance Dickson, Karl Geurs, David Landsberg, Brian Alan Lane, Deborah McIntyre, Les Menchen, Michael Michaelian, Jon Povill, Ralph Sanchez, Jack B. Sowards, Joseph Stefano, Jaron Summers, Gregory Amos, David Assael, Kurt Michael Bensmiller, Thomas H. Calder, Steve Gerber, Mike Gray, Wanda M. Haight, John Mason, Sam Rolfe, Ron Roman, Beth Woods, Jacqueline Zambrano, Alan J. Adler, Kacey Arnold-Ince, Peter S. Beagle, Robin Bernheim, Sally Caves, Marc Cushman, Trent Christopher Ganino, Vanessa Greene, Jake Jacobs, Susanne Lambdin, W. Reed Moran, Jo Perry, Thomas Perry, Ralph Phillips, Lee Sheldon, Bryan Stewart, Eric A. Stillwell, John Whelpley, Ed Zuckerman, Harold Apter, Bruce D. Arthurs, Cy Chermak, Lawrence V. Conley, Tim de Haas, Pamela Douglas, Michel Horvat, Ron Jarvis, Tom Kartozian, William Douglas Lansford, Ted Roberts, Randee Russell, Ken Schafer, Philip A. Scorza, Marc Scott Zicree, Rene Balcer, Adam Belanoff, Diana Dru Botsford, Ward Botsford, Matthew Corey, Richard Fliegel, Pamela Gray, Allison Hock, James Kahn, Reuben Leder, T. Michael, Grant Rosenberg, Paul Ruben, Paul Schiffer, Barry M. Schkolnick, L.J. Scott, Edithe Swensen, Robert Hewitt Wolfe, James E. Brooks, Jeanne Carrigan-Fauci, Roger Eschbacher, Jaq Greenspon, Dan Koeppel, Michael A. Medlock, Lisa Rich, Jeanna F. Gallo, Mark Kalbfeld, Antonia King, Shawn Piller, William N. Stape, Spike Steingasser","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0092455"" target=""_blank"">tt0092455</a>","<a href=""https://www.imdb.com/title/tt0092455"" target=""_blank"">Star Trek: The Next Generation</a>",Star Trek: The Next Generation,26 Sep 1987,"Action, Adventure, Drama",44 min,8.7,"143,530",
tt13991232,1883,2021,2022.0,97,8.7,143695,"Ben Richardson, Christina Alexandra Voros, Taylor Sheridan",Taylor Sheridan,"Drama, Western","<a href=""https://www.imdb.com/title/tt13991232"" target=""_blank"">tt13991232</a>","<a href=""https://www.imdb.com/title/tt13991232"" target=""_blank"">1883</a>",1883,19 Dec 2021,"Drama, Western",N/A,8.7,"139,308",
tt1628033,Top Gear,2002,2022.0,98,8.7,132694,"Brian Klein, Phil Churchward, Nigel Simpkiss, Jon Richards, Richard Heeley, James Bryce, Andrew Fettis, Owen Trevor, Mark McQueen, Konrad Begg, Scott Weintrob, Kit Lynch Robinson, Ben Duncan, Chris Richards, Southan Morris, Ben Hume-Paton, Edward Bazalgette, Chris Hooke, Ollie Bartlett, Simon Ludgate, Michael Tuft, Lee Ford, Ed Venner, Iain May, Graham Sherrington, Ben Southwell, Nikki Parsons, Dennis Jarvis, Richard Thomson, James Wiseman, Rob Kaplan, Gary Broadhurst, Babak Zand Goodarzi, Michael Massey, Michael Armit, Gerry Pomeroy, Lionel Mill, Hannah Springham, Benji Edwards, Nick Dalton","Danny Baker, Lucy Guy, Paul Kerensa, Matthew Leys, Dan Read, Jack Rix, Aiden Spackman, Fraser Steele, Martin Trenaman","Adventure, Comedy, Sport","<a href=""https://www.imdb.com/title/tt1628033"" target=""_blank"">tt1628033</a>","<a href=""https://www.imdb.com/title/tt1628033"" target=""_blank"">Top Gear</a>",Top Gear,20 Oct 2002,"Adventure, Sport, Talk-Show",1 min,8.7,"132,421",
tt1628033,Top Gear,2002,2022.0,98,8.7,132694,"Brian Klein, Phil Churchward, Nigel Simpkiss, Jon Richards, Richard Heeley, James Bryce, Andrew Fettis, Owen Trevor, Mark McQueen, Konrad Begg, Scott Weintrob, Kit Lynch Robinson, Ben Duncan, Chris Richards, Southan Morris, Ben Hume-Paton, Edward Bazalgette, Chris Hooke, Ollie Bartlett, Simon Ludgate, Michael Tuft, Lee Ford, Ed Venner, Iain May, Graham Sherrington, Ben Southwell, Nikki Parsons, Dennis Jarvis, Richard Thomson, James Wiseman, Rob Kaplan, Gary Broadhurst, Babak Zand Goodarzi, Michael Massey, Michael Armit, Gerry Pomeroy, Lionel Mill, Hannah Springham, Benji Edwards, Nick Dalton","Danny Baker, Lucy Guy, Paul Kerensa, Matthew Leys, Dan Read, Jack Rix, Aiden Spackman, Fraser Steele, Martin Trenaman","Adventure, Comedy, Sport","<a href=""https://www.imdb.com/title/tt1628033"" target=""_blank"">tt1628033</a>","<a href=""https://www.imdb.com/title/tt1628033"" target=""_blank"">Top Gear</a>",Top Gear,20 Oct 2002,"Adventure, Sport, Talk-Show",1 min,8.7,"132,421",
tt0118421,Oz,1997,2003.0,99,8.7,112461,"Adam Bernstein, Alex Zakrzewski, Nick Gomez, Jean de Segonzac, Darnell Martin, Keith Samples, J. Miller Tobin, Leslie Libman, Alan Taylor, Terry Kinney, Steve Buscemi, Goran Gajic, Larry Williams, Bob Balaban, Kathy Bates, Uli Edel, Mary Harron, Matt Dillon, Barbara Kopple, Chazz Palminteri, Brian Cox, Kenneth Fink, Gloria Muzio, Rob Morrow, Roger Rees, Ted Bogosian, John Henry Davis, Judy Dennis, Marc Klasfeld, Daniel Loflin, David Von Ancken","Tom Fontana, Bradford Winters, Sunil Nayar, Sean Jablonski, Sean Whitesell, Debbie Sarjeant, Chuck Schweitzer","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0118421"" target=""_blank"">tt0118421</a>","<a href=""https://www.imdb.com/title/tt0118421"" target=""_blank"">Oz</a>",Oz,12 Jul 1997,"Crime, Drama, Thriller",31S min,8.7,"111,547",
tt9544034,The Family Man,2019,,100,8.7,104194,"Krishna D.K., Raj Nidimoru, Suparn Varma","Krishna D.K., Raj Nidimoru, Suman Kumar, Sumit Arora, Manoj Kumar Kalaivanan, Suparn Varma","Action, Comedy, Drama","<a href=""https://www.imdb.com/title/tt9544034"" target=""_blank"">tt9544034</a>","<a href=""https://www.imdb.com/title/tt9544034"" target=""_blank"">The Family Man</a>",The Family Man,22 Dec 2000,"Comedy, Drama, Fantasy",125 min,6.8,"125,928","$75,793,305"
tt0286486,The Shield,2002,2008.0,101,8.7,93227,"Guy Ferland, Scott Brazil, Clark Johnson, Dean White, Stephen Kay, Gwyneth Horder-Payton, D.J. Caruso, Michael Chiklis, Nick Gomez, Paris Barclay, Peter Horton, Terrence O'Hara, Félix Enríquez Alcalá, Philip G. Atwell, Rohn Schmidt, Gary Fleder, Stephen Gyllenhaal, Leslie Libman, Brad Anderson, John Badham, Davis Guggenheim, Scott Winant, David Mamet, Vondie Curtis-Hall, David Von Ancken, Kurt Sutter, Frank Darabont, Michael Fields, Craig Brewer, Billy Gierhart","Shawn Ryan, Kurt Sutter, Scott Rosenbaum, Kim Clements, Glen Mazzara, Charles H. Eglee, Adam Fierro, Elizabeth Craft, Sarah Fain, Kevin Arkadie, Lisa Randolph, James Manos Jr., Reed Steiner, Elizabeth A. Hansen, John Hlavin, Gary Lennon, Angela Russo-Otstot, Diego Gutierrez, Randy Huggins, Lia Langworthy, Jennifer R. Richmond, Ted Griffin, Emily Lewis, Renee Palyo, Tony Soltis, Evan Bleiweiss, Jameal Turner","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0286486"" target=""_blank"">tt0286486</a>","<a href=""https://www.imdb.com/title/tt0286486"" target=""_blank"">The Shield</a>",The Shield,12 Mar 2002,"Crime, Drama, Thriller",47 min,8.7,"92,923",
tt13309742,Blue Eye Samurai,2023,,102,8.7,91767,"Jane Wu, Earl A. Hibbert, Ryan O'Loughlin, Michael Green, Sunny Sun, Alan Taylor, Alan Wan","Michael Green, Amber Noizumi, Yana Bille","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt13309742"" target=""_blank"">tt13309742</a>","<a href=""https://www.imdb.com/title/tt13309742"" target=""_blank"">Blue Eye Samurai</a>",Blue Eye Samurai,03 Nov 2023,"Animation, Action, Adventure",N/A,8.7,"91,019",
tt0994314,Code Geass,2006,2008.0,103,8.7,91561,"Gorô Taniguchi, Yoshimitsu Ôhashi, Kazuya Murata, Kazuo Miyake, Noriaki Akitaya, Masato Miyoshi, Makoto Baba","Gorô Taniguchi, Ichirô Ôkouchi, Hiroyuki Yoshino, Yuuichi Nomura, Kevin Seymour, Makoto Baba","Action, Animation, Drama","<a href=""https://www.imdb.com/title/tt0994314"" target=""_blank"">tt0994314</a>","<a href=""https://www.imdb.com/title/tt0994314"" target=""_blank"">Code Geass</a>",Code Geass,N/A,"Animation, Action, Drama",24 min,8.7,"91,077",
tt5712554,The Grand Tour,2016,2024.0,104,8.7,90971,"Phil Churchward, Kit Lynch Robinson, Brian Klein, Gavin Whitehead",James May,"Comedy, Sport, Talk-Show","<a href=""https://www.imdb.com/title/tt5712554"" target=""_blank"">tt5712554</a>","<a href=""https://www.imdb.com/title/tt5712554"" target=""_blank"">The Grand Tour</a>",The Grand Tour,18 Nov 2016,"Comedy, Sport, Talk-Show",2 min,8.7,"90,374",
tt1910272,Steins;Gate,2011,2015.0,105,8.8,83159,"Hiroshi Hamasaki, Takuya Satô, Kazuhiro Ozawa, Kanji Wakabayashi, Tomoki Kobayashi, Kôji Kobayashi, Tomoko Hiramuki, Shigetaka Ikeda, Hisato Shimoda, Yoshihito Mikamo, Yuzuru Tachikawa, Hiroyuki Tsuchiya","Jukki Hanada, Toshizô Nemoto, Chiyomaru Shikura, Masahiro Yokotani","Animation, Comedy, Drama","<a href=""https://www.imdb.com/title/tt1910272"" target=""_blank"">tt1910272</a>","<a href=""https://www.imdb.com/title/tt1910272"" target=""_blank"">Steins;Gate</a>",Steins;Gate,06 Apr 2011,"Animation, Comedy, Drama",24 min,8.8,"82,639",
tt0063929,Monty Python's Flying Circus,1969,1974.0,106,8.8,82598,"Ian MacNaughton, John Howard Davies","Graham Chapman, Eric Idle, Terry Jones, Michael Palin, Terry Gilliam, John Cleese, Neil Innes, Douglas Adams",Comedy,"<a href=""https://www.imdb.com/title/tt0063929"" target=""_blank"">tt0063929</a>","<a href=""https://www.imdb.com/title/tt0063929"" target=""_blank"">Monty Python's Flying Circus</a>",Monty Python's Flying Circus,02 Oct 2018,Comedy,31S min,8.8,"81,970",
tt0353049,Chappelle's Show,2003,2006.0,107,8.8,76217,"Rusty Cundieff, Andre Allen, Neal Brennan, Scott Vincent, Bobcat Goldthwait, Peter Lauer, Bill Berner, Todd Broder","Neal Brennan, Dave Chappelle, Norman Lear, Paul Mooney, Bryan H. Tucker, Celina Lorenz, Allison Walton, Nick Kroll, Kurt Metzger, Charlie Murphy, Donnell Rawlings","Comedy, Music","<a href=""https://www.imdb.com/title/tt0353049"" target=""_blank"">tt0353049</a>","<a href=""https://www.imdb.com/title/tt0353049"" target=""_blank"">Chappelle's Show</a>",Chappelle's Show,22 Jan 2003,"Comedy, Music",22 min,8.8,"75,917",
tt0096548,Blackadder Goes Forth,1989,1989.0,108,8.8,60589,Richard Boden,"Richard Curtis, Ben Elton","Comedy, War","<a href=""https://www.imdb.com/title/tt0096548"" target=""_blank"">tt0096548</a>","<a href=""https://www.imdb.com/title/tt0096548"" target=""_blank"">Blackadder Goes Forth</a>",Blackadder Goes Forth,28 Sep 1989,"Comedy, War",175 min,8.8,"57,307",
