tconst,primaryTitle,startYear,endYear,rank,averageRating,numVotes,directors,writers,genres,IMDbLink,Title_IMDb_Link,Title,Released,Genre,Runtime,imdbRating,imdbVotes,BoxOffice
tt2560140,Attack on Titan,2013,2023.0,11,9.1,613850,"Tetsurô Araki, Masashi Koizuka, Yûichirô Hayashi, Jun Shishido, Hiroyuki Tanaka, Shintarô Itoga, Yasuhiro Akamatsu, Teruyuki Omine, Shinpei Ezaki, Kiyoshi Fukumoto, Yoshihide Ibata, Mitsue Yamazaki, Daisuke Tokudo, Akitoshi Yokoyama, Satonobu Kikuchi, Hitomi Ezoe, Tetsuya Wakano, Makoto Bessho, Tomomi Ikeda, Yasushi Muroya, Keisuke Onishi, Hirokazu Yamada, Takayuki Hirao, Kenji Imura, Tomoko Hiramuki, Shingo Uchida, Takashi Andô, Matsuo Asami, Aiko Sakuraba, Kaori Makita, Hidekazu Hara, Yoshiyuki Fujiwara, Tatsuma Minamikawa, Yuzuru Tachikawa, Shin Wakabayashi, Masayuki Miyaji, Yuumi Kawai, Ken Andô, Ryôsuke Azuma, Ryûta Kawahara, Miki Komuro, Kôki Aoshima, Naoki Matsuura, Kazuo Miyake, Tokio Igarashi","Hajime Isayama, Yasuko Kobayashi, Hiroshi Seko, Noboru Takagi, Aaron Dismuke, J. Michael Tatum","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">tt2560140</a>","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">Attack on Titan</a>",Attack on Titan,28 Sep 2013,"Animation, Action, Adventure",24 min,9.1,"607,219",
tt14392248,Aspirants,2021,,12,9.2,315725,Apoorv Singh Karki,"Deepesh Sumitra Jagdish, Arunabh Kumar, Shreyansh Pandey, Ashutosh Chaturvedi, Pankaj Mavchi",Drama,"<a href=""https://www.imdb.com/title/tt14392248"" target=""_blank"">tt14392248</a>","<a href=""https://www.imdb.com/title/tt14392248"" target=""_blank"">Aspirants</a>",Aspirants,07 Apr 2021,Drama,3 min,9.2,"313,882",
tt12392504,Scam 1992: The Harshad Mehta Story,2020,2020.0,13,9.2,165003,"Hansal Mehta, Jai Mehta","Saurav Dey, Sumit Purohit, Vaibhav Vishal, Karan Vyas, Debashis Basu, Sucheta Dalal, Sanjay Singh, Kiran Yagnopavit","Biography, Crime, Drama","<a href=""https://www.imdb.com/title/tt12392504"" target=""_blank"">tt12392504</a>","<a href=""https://www.imdb.com/title/tt12392504"" target=""_blank"">Scam 1992: The Harshad Mehta Story</a>",Scam 1992: The Harshad Mehta Story,09 Oct 2020,"Biography, Crime, Drama",N/A,9.2,"164,661",
tt2395695,Cosmos: A Spacetime Odyssey,2014,2014.0,14,9.2,134282,"Brannon Braga, Ann Druyan, Bill Pope, Kevin Dart","Ann Druyan, Johnny Otto, Carl Sagan, Steven Soter",Documentary,"<a href=""https://www.imdb.com/title/tt2395695"" target=""_blank"">tt2395695</a>","<a href=""https://www.imdb.com/title/tt2395695"" target=""_blank"">Cosmos: A Spacetime Odyssey</a>",Cosmos: A Spacetime Odyssey,09 Mar 2014,Documentary,557 min,9.2,"134,429",
tt1475582,Sherlock,2010,2017.0,15,9.0,1049668,"Paul McGuigan, Jeremy Lovering, Nick Hurran, Coky Giedroyc, Euros Lyn, Toby Haynes, Colm McCarthy, Douglas Mackinnon, Benjamin Caron, Rachel Talalay","Mark Gatiss, Steven Moffat, Arthur Conan Doyle, Steve Thompson","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt1475582"" target=""_blank"">tt1475582</a>","<a href=""https://www.imdb.com/title/tt1475582"" target=""_blank"">Sherlock</a>",Sherlock,24 Oct 2010,"Crime, Drama, Mystery",88 min,9.1,"1,045,351",
tt0386676,The Office,2005,2013.0,16,9.0,777275,"Paul Feig, Randall Einhorn, Ken Kwapis, Greg Daniels, Jeffrey Blitz, Ken Whittingham, David Rogers, Charles McDougall, Matt Sohn, Paul Lieberstein, B.J. Novak, Tucker Gates, Harold Ramis, Brent Forrester, Jennifer Celotta, Steve Carell, John Krasinski, Rainn Wilson, Troy Miller, Bryan Gordon, Dennie Gordon, Victor Nelli Jr., Jason Reitman, Julian Farino, Joss Whedon, Seth Gordon, Dean Holland, Lee Eisenberg, Gene Stupnitsky, Mindy Kaling, Ed Helms, Rodman Flender, Claire Scanlon, Amy Heckerling, Miguel Arteta, Roger Nygard, J.J. Abrams, Craig Zisk, Stephen Merchant, Reginald Hudlin, Asaad Kelada, Alex Hardcastle, Danny Leiner, John Scott, Marc Webb, Charlie Grandy, Michael Spiller, Eric Appel, Brian Baumgartner, Daniel Chun, Bryan Cranston, Kelly Cantley-Kashima, Jon Favreau, Lee Kirk, Jesse Peretz","Greg Daniels, Ricky Gervais, Stephen Merchant, Carrie Kemper, Mindy Kaling, Anthony Q. Farrell, Robert Padnick, Daniel Chun, Caroline Williams, Niki Schwartz-Wright, Paul Lieberstein, B.J. Novak, Lee Eisenberg, Gene Stupnitsky, Jennifer Celotta, Brent Forrester, Justin Spitzer, Michael Schur, Charlie Grandy, Warren Lieberstein, Halsted Sullivan, Aaron Shure, Owen Ellickson, Allison Silverman, Amelie Gillette, Steve Hely, Steve Carell, Lester Lewis, Ryan Koh, Jon Vitti, Dan Greaney, Jonathan Green, Gabe Miller, Dan Sterling, Graham Wagner, Larry Wilmore, Jonathan Hughes, Jason Kessler, Peter Ocko, Tim McAuliffe",Comedy,"<a href=""https://www.imdb.com/title/tt0386676"" target=""_blank"">tt0386676</a>","<a href=""https://www.imdb.com/title/tt0386676"" target=""_blank"">The Office</a>",The Office,24 Mar 2005,Comedy,22 min,9.0,"778,398",
tt0386676,The Office,2005,2013.0,16,9.0,777275,"Paul Feig, Randall Einhorn, Ken Kwapis, Greg Daniels, Jeffrey Blitz, Ken Whittingham, David Rogers, Charles McDougall, Matt Sohn, Paul Lieberstein, B.J. Novak, Tucker Gates, Harold Ramis, Brent Forrester, Jennifer Celotta, Steve Carell, John Krasinski, Rainn Wilson, Troy Miller, Bryan Gordon, Dennie Gordon, Victor Nelli Jr., Jason Reitman, Julian Farino, Joss Whedon, Seth Gordon, Dean Holland, Lee Eisenberg, Gene Stupnitsky, Mindy Kaling, Ed Helms, Rodman Flender, Claire Scanlon, Amy Heckerling, Miguel Arteta, Roger Nygard, J.J. Abrams, Craig Zisk, Stephen Merchant, Reginald Hudlin, Asaad Kelada, Alex Hardcastle, Danny Leiner, John Scott, Marc Webb, Charlie Grandy, Michael Spiller, Eric Appel, Brian Baumgartner, Daniel Chun, Bryan Cranston, Kelly Cantley-Kashima, Jon Favreau, Lee Kirk, Jesse Peretz","Greg Daniels, Ricky Gervais, Stephen Merchant, Carrie Kemper, Mindy Kaling, Anthony Q. Farrell, Robert Padnick, Daniel Chun, Caroline Williams, Niki Schwartz-Wright, Paul Lieberstein, B.J. Novak, Lee Eisenberg, Gene Stupnitsky, Jennifer Celotta, Brent Forrester, Justin Spitzer, Michael Schur, Charlie Grandy, Warren Lieberstein, Halsted Sullivan, Aaron Shure, Owen Ellickson, Allison Silverman, Amelie Gillette, Steve Hely, Steve Carell, Lester Lewis, Ryan Koh, Jon Vitti, Dan Greaney, Jonathan Green, Gabe Miller, Dan Sterling, Graham Wagner, Larry Wilmore, Jonathan Hughes, Jason Kessler, Peter Ocko, Tim McAuliffe",Comedy,"<a href=""https://www.imdb.com/title/tt0386676"" target=""_blank"">tt0386676</a>","<a href=""https://www.imdb.com/title/tt0386676"" target=""_blank"">The Office</a>",The Office,24 Mar 2005,Comedy,22 min,9.0,"778,398",
tt3032476,Better Call Saul,2015,2022.0,17,9.0,734755,"Vince Gilligan, Thomas Schnauz, Peter Gould, Michael Morris, Adam Bernstein, Michelle MacLaren, Colin Bucksey, John Shiban, Larysa Kondracki, Terry McDonough, Daniel Sackheim, Minkie Spiro, Jim McKay, Melissa Bernstein, Gordon Smith, Nicole Kassell, Michael Slovis, Scott Winant, Keith Gordon, Deborah Chow, Andrew Stanton, Norberto Barba, Bronwen Hughes, Giancarlo Esposito, Rhea Seehorn","Vince Gilligan, Peter Gould, Gordon Smith, Marion Dayre, Ann Cherkis, Thomas Schnauz, Ariel Levine, Gennifer Hutchison, Alison Tatlock, Jonathan Glatzer, Bradley Paul","Crime, Drama","<a href=""https://www.imdb.com/title/tt3032476"" target=""_blank"">tt3032476</a>","<a href=""https://www.imdb.com/title/tt3032476"" target=""_blank"">Better Call Saul</a>",Better Call Saul,08 Feb 2015,"Crime, Drama",46 min,9.0,"728,304",
tt11126994,Arcane,2021,2024.0,18,9.0,397162,"Pascal Charrue, Arnaud Delord, Bart Maunoury, Marietta Ren, Christelle Abgrall, Etienne Mattera","Mollie Bickley St. John, Ash Brannon, David Dunne, Kristina Felske, Henry G.M. Jones, Christian Linke, Nick Luddington, Graham McNeill, Amanda Overton, Giovanna Sarquis, Conor Sheehy, Ben St. John, Alex Yee","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt11126994"" target=""_blank"">tt11126994</a>","<a href=""https://www.imdb.com/title/tt11126994"" target=""_blank"">Arcane</a>",Arcane,06 Nov 2021,"Animation, Action, Adventure",N/A,9.0,"390,191",
tt1355642,Fullmetal Alchemist: Brotherhood,2009,2010.0,19,9.1,222068,"Yasuhiro Irie, Takuya Igarashi, Tsutomu Yabuki, Ikurô Satô, Kiyomitsu Satô, Hiroshi Iketomi, Keiko Namba, Takahiro Ikezoe, Masahiro Sonoda, Masao Ôkubo, Rokô Ogiwara, Takayuki Tanaka, Kazuhide Tomonaga, Daisuke Tsukushi","Hiromu Arakawa, Hiroshi Ônogi, Michihiro Tsuchiya, Shotaro Suga, Seishi Minakami, Yoneki Tsumura, Blair Rowan","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt1355642"" target=""_blank"">tt1355642</a>","<a href=""https://www.imdb.com/title/tt1355642"" target=""_blank"">Fullmetal Alchemist: Brotherhood</a>",Fullmetal Alchemist: Brotherhood,09 Apr 2009,"Animation, Action, Adventure",54S min,9.1,"222,648",
