Title,Released,Genre,Runtime,imdbRating,imdbVotes,BoxOffice
The Amazing World of Gumball,03 May 2011,"Animation, Short, Adventure",11 min,8.4,"47,367",
Top Boy,31 Oct 2011,"Crime, Drama, Thriller",1 min,8.4,"42,777",
Dr. Horrible's Sing-Along Blog,15 Jul 2008,"Short, Comedy, Musical",55S min,8.4,"44,647",
The Wonder Years,31 Jan 1988,"Comedy, Drama, Family",22 min,8.3,"41,571",
Harley Quinn,29 Nov 2019,"Animation, Action, Adventure",2 min,8.4,"41,027",
Doctor Who,17 Mar 2006,"Adventure, Drama, Sci-Fi",45 min,8.5,"257,803",
Snowfall,05 Jul 2017,"Crime, Drama",44 min,8.4,"38,861",
The Colbert Report,17 Oct 2005,"Comedy, News, Talk-Show",30 min,8.4,"39,326",
The Boondocks,06 Nov 2005,"Animation, Action, Comedy",27S min,8.5,"37,206",
John Adams,16 Mar 2008,"Biography, Drama, History",31S min,8.4,"37,624",
Red Dwarf,29 Mar 1989,"Comedy, Sci-Fi",1 min,8.4,"38,166",
North,22 Jul 1994,"Adventure, Comedy, Drama",87 min,4.5,"14,983","$7,182,747"
Borgen,29 Oct 2011,Drama,58 min,8.5,"31,400",
Mumbai Diaries,09 Sep 2021,"Drama, Thriller",N/A,8.5,"31,058",
The Rehearsal,15 Jul 2022,"Documentary, Comedy",N/A,8.5,"28,909",
Southland,09 Apr 2009,"Crime, Drama, Thriller",42 min,8.5,"29,645",
I Love Lucy,15 Oct 1951,Comedy,30 min,8.5,"29,706",
The Venture Bros.,16 Feb 2003,"Animation, Action, Adventure",N/A,8.6,"29,506",
Delhi Crime,22 Mar 2019,"Crime, Drama",50 min,8.5,"27,723",
Mystery Science Theater 3000,10 May 1988,"Comedy, Sci-Fi",92 min,8.6,"27,034",
MobLand,30 Mar 2025,"Crime, Drama",N/A,8.4,"36,999",
Permanent Roommates,29 Oct 2014,"Comedy, Romance",21 min,8.6,"26,499",
Wentworth,01 May 2013,"Crime, Drama, Thriller",45 min,8.6,"25,961",
Primal,07 Oct 2019,"Animation, Action, Adventure",22 min,8.6,"24,703",
Detectorists,02 Oct 2014,Comedy,1 min,8.6,"23,248",
I'm Alan Partridge,03 Nov 1997,Comedy,29 min,8.6,"22,274",
Avrupa Yakasi,11 Feb 2004,Comedy,60 min,8.6,"20,696",
The Owl House,10 Jan 2020,"Animation, Action, Adventure",22 min,8.6,"22,975",
Lucky Guy,06 Sep 2023,"Comedy, Drama, Fantasy",N/A,8.7,"21,211",
Isler Güçler,28 Jun 2012,Comedy,86 min,8.6,"21,500",
My Brilliant Friend,18 Nov 2018,Drama,1 min,8.6,"20,674",
Gintama,04 Apr 2006,"Animation, Action, Comedy",N/A,8.7,"17,688",
Campus Diaries,07 Jan 2022,"Comedy, Drama, Romance",N/A,8.8,"17,200",
Mahabharat,02 Oct 1988,"Action, Adventure, Drama",45 min,9.0,"23,756",
My Mister,03 Nov 2020,"Drama, Family",1 min,9.0,"11,606",
The Walking Dead,31 Oct 2010,"Drama, Horror, Thriller",44 min,8.1,"1,145,898",
The Big Bang Theory,24 Sep 2007,"Comedy, Romance",22 min,8.1,"910,026",
Family Guy,31 Jan 1999,"Animation, Comedy",22 min,8.1,"376,487",
Criminal Minds,22 Sep 2005,"Crime, Drama, Mystery",42 min,8.1,"229,466",
That '70s Show,23 Aug 1998,"Comedy, Drama, Romance",22 min,8.1,"192,831",
Only Murders in the Building,31 Aug 2021,"Comedy, Crime, Drama",N/A,8.1,"186,486",
Silo,05 May 2023,"Drama, Mystery, Sci-Fi",N/A,8.1,"187,004",
Castle,09 Mar 2009,"Comedy, Crime, Drama",43 min,8.1,"181,548",
How to Get Away with Murder,25 Sep 2014,"Crime, Drama, Mystery",43 min,8.1,"173,850",
Sense8,05 Jun 2015,"Drama, Mystery, Sci-Fi",60 min,8.2,"167,537",
Gilmore Girls,05 Oct 2000,"Comedy, Drama",57S min,8.2,"162,283",
The Originals,03 Oct 2013,"Drama, Fantasy, Horror",45 min,8.2,"155,145",
Chuck,24 Sep 2007,"Action, Comedy, Drama",1 min,8.2,"150,696",
Malcolm in the Middle,09 Jan 2000,"Comedy, Family",22 min,8.2,"148,916",
White Collar,23 Oct 2009,"Comedy, Crime, Drama",17S min,8.2,"149,067",
Watchmen,06 Mar 2009,"Action, Drama, Mystery",162 min,7.6,"599,079","$107,509,799"
The Morning Show,01 Nov 2019,Drama,60 min,8.1,"139,376",
Penny Dreadful,28 Apr 2014,"Drama, Fantasy, Horror",60 min,8.2,"135,404",
Black Sails,25 Jan 2014,"Action, Adventure, Drama",56 min,8.2,"120,913",
SpongeBob SquarePants,01 May 1999,"Animation, Comedy, Family",23 min,8.2,"118,305",
Misfits,19 Jul 2012,"Comedy, Drama, Fantasy",55S min,8.2,"110,419",
Atypical,11 Aug 2017,"Comedy, Drama",30 min,8.2,"109,278",
Frasier,16 Sep 1993,Comedy,22 min,8.2,"99,355",
Bob's Burgers,09 Jan 2011,"Animation, Comedy",30S min,8.2,"97,683",
Skins,17 Jan 2011,Drama,1 min,8.2,"97,305",
My Hero Academia,05 May 2018,"Animation, Action, Adventure",24 min,8.2,"92,078",
Godless,22 Nov 2017,"Action, Drama, Western",452 min,8.2,"85,716",
Bleach,09 Sep 2006,"Animation, Action, Adventure",32S min,8.2,"82,523",
Master of None,06 Nov 2015,"Comedy, Drama",1 min,8.2,"77,688",
Paatal Lok,15 May 2020,"Crime, Drama, Thriller",2 min,8.1,"66,205",
Eastbound,17 Aug 2021,Documentary,N/A,N/A,N/A,N/A
Forever,22 Sep 2014,"Crime, Drama, Fantasy",21S min,8.2,"64,354",
Extras,25 Sep 2005,"Comedy, Drama",30 min,8.3,"61,940",
Blue Mountain State,11 Jan 2010,"Comedy, Sport",2 min,8.3,"60,672",
Grace and Frankie,08 May 2015,Comedy,30 min,8.2,"58,810",
Kingdom,25 Jan 2019,"Action, Drama, Horror",45 min,8.3,"59,345",
Hell on Wheels,06 Nov 2011,"Drama, Western",42 min,8.3,"58,101",
MythBusters,23 Jan 2003,"Documentary, Mystery, Reality-TV",44 min,8.3,"55,909",
Courage the Cowardly Dog,12 Nov 1999,"Animation, Adventure, Comedy",33S min,8.3,"54,354",
Spy x Family,09 Apr 2022,"Animation, Action, Comedy",N/A,8.3,"51,273",
Farzi,10 Feb 2023,"Crime, Drama, Thriller",N/A,8.3,"50,400",
The Young Pope,15 Jan 2017,Drama,546 min,8.3,"48,696",
The Daily Show,22 Jul 1996,"Comedy, News, Talk-Show",22 min,8.3,"48,565",
24: Live Another Day,05 May 2014,"Action, Crime, Drama",46 min,8.3,"47,084",
Columbo,15 Sep 1971,"Crime, Drama, Mystery",50S min,8.3,"45,039",
Longmire,03 Jun 2012,"Action, Crime, Drama",1 min,8.3,"41,671",
Farscape,19 Mar 1999,"Action, Adventure, Drama",1 min,8.3,"41,705",
Parenthood,02 Aug 1989,"Comedy, Drama",124 min,7.1,"56,122","$100,047,830"
Dragon Ball Super,07 Jan 2017,"Animation, Action, Adventure",28S min,8.3,"40,763",
Fauda,15 Feb 2015,"Action, Drama, Thriller",1 min,8.3,"40,009",
Poldark,21 Jun 2015,"Drama, Romance",60 min,8.3,"37,258",
Spider-Man: The Animated Series,19 Nov 1994,"Animation, Action, Adventure",43S min,8.4,"37,591",
Broad City,22 Jan 2014,Comedy,22 min,8.4,"37,405",
Halt and Catch Fire,01 Jun 2014,Drama,60 min,8.4,"36,785",
Babylon 5,22 Feb 1993,"Action, Adventure, Drama",2 min,8.4,"35,968",
Life,24 Mar 2017,"Horror, Sci-Fi, Thriller",104 min,6.6,"267,717","$30,234,022"
Years and Years,24 Jun 2019,"Drama, Sci-Fi",60 min,8.3,"35,728",
An Idiot Abroad,05 Sep 2010,"Documentary, Adventure, Comedy",43 min,8.3,"34,719",
Violet Evergarden,22 Aug 2020,"Animation, Drama, Family",24 min,8.4,"34,594",
Vincenzo,20 Feb 2021,"Action, Comedy, Crime",52S min,8.4,"32,524",
Bosch: Legacy,06 May 2022,"Crime, Drama",N/A,8.4,"34,304",
Unforgotten,08 Apr 2018,"Crime, Drama, Mystery",31S min,8.4,"32,750",
The Good Fight,19 Feb 2017,"Crime, Drama",2 min,8.3,"34,122",
Generation War,06 May 2014,"Action, Drama, History",270 min,8.4,"34,110",
Life on Mars,24 Jul 2006,"Crime, Drama, Mystery",1 min,8.4,"33,509",
Dandadan,13 Sep 2024,"Animation, Action, Adventure",N/A,8.4,"32,872",
Babylon Berlin,30 Jan 2018,"Crime, Drama, Thriller",45 min,8.4,"31,266",
The Killing,03 Apr 2011,"Crime, Drama, Mystery",45 min,8.3,"129,008",
Ethos,12 Nov 2020,Drama,2 min,8.4,"30,866",
Ghosts,07 Oct 2021,"Comedy, Fantasy",N/A,7.9,"40,623",
'Allo 'Allo!,30 Dec 1982,"Comedy, History, War",45 min,8.4,"27,553",
Inside Look: The People v. O.J. Simpson - American Crime Story,19 Jan 2016,"Documentary, Short",5 min,8.4,"27,410",
The Muppet Show,23 Apr 1977,"Comedy, Family, Musical",30 min,8.4,"26,826",
The Railway Men,18 Nov 2023,"Drama, History, Thriller",N/A,8.5,"25,273",
Jesus of Nazareth,03 Apr 1977,"Biography, Drama, History",3 min,8.5,"26,425",
Top Gear,20 Oct 2002,"Adventure, Sport, Talk-Show",1 min,8.7,"132,421",
The Mighty Boosh,18 May 2004,"Comedy, Fantasy, Musical",30 min,8.3,"24,803",
RuPaul's Drag Race,02 Feb 2009,"Game-Show, Reality-TV",63 min,8.5,"24,680",
Kaguya-sama: Love is War,12 Jan 2019,"Animation, Comedy, Romance",24 min,8.5,"24,121",
Anne of Green Gables,17 Feb 1986,"Drama, Family",199 min,8.5,"23,638",
Queer as Folk,03 Dec 2000,"Drama, Romance",2 min,8.5,"22,969",
The Eric Andre Show,20 May 2012,"Comedy, Talk-Show",11 min,8.6,"23,078",
Inside No. 9,13 Feb 2014,"Comedy, Crime, Drama",30 min,8.5,"22,394",
Queer Eye,07 Feb 2018,Reality-TV,45 min,8.5,"21,552",
Ghost in the Shell: Stand Alone Complex,07 Nov 2004,"Animation, Action, Crime",24 min,8.5,"21,783",
Smiling Friends,01 Apr 2020,"Animation, Short, Comedy",12 min,8.5,"21,375",
Rurouni Kenshin,17 Mar 2003,"Animation, Action, Adventure",24 min,8.5,"21,276",
Garth Marenghi's Darkplace,28 Jan 2004,"Comedy, Fantasy, Horror",22S min,8.5,"20,627",
TVF Tripling,28 Aug 2016,"Comedy, Drama",30 min,8.5,"20,781",
Kingdom,25 Jan 2019,"Action, Drama, Horror",45 min,8.3,"59,345",
Please Like Me,02 Aug 2013,"Comedy, Drama, Romance",29 min,8.5,"20,022",
Alfred Hitchcock Presents,02 Oct 1955,"Crime, Drama, Mystery",1 min,8.5,"19,969",
Bandish Bandits,04 Aug 2020,"Drama, Music, Romance",30 min,8.6,"17,854",
Foyle's War,02 Feb 2003,"Crime, Drama, Mystery",90 min,8.6,"19,297",
Barareh Nights,25 Oct 2005,Comedy,60 min,8.5,"16,280",
Through the Wormhole,09 Jun 2010,Documentary,60 min,8.6,"18,615",
Death's Game,15 Dec 2023,"Drama, Fantasy",N/A,8.5,"18,830",
Twenty Five Twenty One,12 Feb 2022,"Drama, Romance",N/A,8.6,"18,244",
Yes Minister,25 Feb 1980,Comedy,60 min,8.6,"17,697",
Kardes Payi,13 Feb 2014,"Comedy, Drama, Family",70 min,8.6,"16,955",
The Bureau,14 Dec 2016,"Drama, Thriller",N/A,8.7,"16,925",
Long Way Round,28 Oct 2004,"Documentary, Adventure",2 min,8.6,"15,600",
Homicide: Life on the Street,31 Jan 1993,"Crime, Drama, Mystery",34S min,8.7,"15,567",
Tear Along the Dotted Line,17 Nov 2021,"Animation, Comedy, Drama",1 min,8.6,"15,227",
How to with John Wilson,23 Oct 2020,"Documentary, Comedy",30 min,8.7,"15,248",
El Chavo del Ocho,27 Apr 1972,"Comedy, Family",30 min,8.7,"13,465",
Pew News,03 Feb 2018,"Comedy, News",15 min,8.8,"14,811",
The Return of Sherlock Holmes,05 Feb 1987,"Crime, Drama, Mystery",60 min,8.7,"13,686",
Fighting Spirit,04 Oct 2000,"Animation, Action, Comedy",20 min,8.8,"12,811",
Black Sun,22 Oct 2017,"Crime, Drama, Thriller",60 min,8.8,"12,622",
Not Me,12 Dec 2021,"Action, Crime, Romance",3 min,8.8,"12,345",
Tash ma Tash,11 Feb 1994,"Comedy, Drama",25 min,8.9,"10,755",
Harga,13 Apr 2021,Drama,N/A,8.9,"10,016",
Still Game,01 Nov 2015,Comedy,22S min,8.9,"9,769",
Farouk Omar,20 Jul 2012,"Biography, Drama, History",45 min,9.1,"9,493",
The Beatles Anthology,11 Nov 1995,"Documentary, Music",600 min,9.1,"9,545",
Vratice se rode,09 Nov 2007,"Comedy, Crime, Drama",55 min,9.1,"9,117",
Squid Game,17 Sep 2021,"Action, Drama, Mystery",N/A,8.0,"661,706",
Wednesday,23 Nov 2022,"Comedy, Crime, Fantasy",N/A,8.0,"416,486",
Lucifer,25 Jan 2016,"Crime, Drama, Fantasy",42 min,8.0,"375,571",
Orange Is the New Black,11 Jul 2013,"Comedy, Crime, Drama",59 min,8.0,"326,401",
The White Lotus,11 Jul 2021,"Comedy, Drama",N/A,8.0,"274,874",
Reacher,04 Feb 2022,"Action, Crime, Drama",1 min,8.0,"262,597",
The End of the F***ing World,24 Oct 2017,"Adventure, Comedy, Crime",25 min,8.0,"235,261",
Tom Clancy's Jack Ryan,31 Aug 2018,"Action, Crime, Drama",60 min,8.0,"185,097",
The Gentlemen,24 Jan 2020,"Action, Crime",113 min,7.8,"429,432","$36,471,795"
Bodyguard,24 Oct 2018,"Crime, Drama, Thriller",60 min,8.0,"160,109",
Beef,06 Apr 2023,"Comedy, Drama",N/A,8.0,"151,321",
Killing Eve,08 Apr 2018,"Action, Adventure, Drama",42 min,8.1,"146,305",
Law Abiding Citizen,16 Oct 2009,"Action, Crime, Drama",109 min,7.4,"334,044","$73,357,727"
The Fall,12 May 2013,"Crime, Drama, Thriller",21S min,8.1,"126,068",
Black Bird,08 Jul 2022,"Biography, Crime, Drama",N/A,8.1,"124,911",
Bates Motel,18 Mar 2013,"Drama, Horror, Mystery",30S min,8.1,"121,477",
Married... with Children,05 Apr 1987,Comedy,22 min,8.1,"114,890",
11.22.63,15 Feb 2016,"Drama, Mystery, Romance",60 min,8.1,"109,277",
Shrinking,27 Jan 2023,"Comedy, Drama",N/A,8.1,"98,556",
Monk,12 Jul 2002,"Comedy, Crime, Drama",44 min,8.1,"98,418",
The Tudors,01 Apr 2007,"Drama, History, Romance",60 min,8.1,"84,440",
For All Mankind,01 Nov 2019,"Drama, Sci-Fi",60 min,8.1,"79,342",
Resident Alien,27 Jan 2021,"Comedy, Drama, Mystery",44 min,8.1,"75,453",
Star Trek: Deep Space Nine,03 Jan 1993,"Action, Adventure, Drama",45 min,8.1,"73,417",
Stargate: Atlantis,16 Jul 2004,"Action, Adventure, Drama",1 min,8.1,"73,749",
Star Wars: Rebels,26 Sep 2014,"Animation, Action, Adventure",22 min,8.1,"63,289",
Daredevil: Born Again,04 Mar 2025,"Action, Crime, Drama",N/A,8.2,"60,920",
Phineas and Ferb,17 Aug 2007,"Animation, Short, Action",1 min,8.1,"60,263",
Ripley,04 Apr 2024,"Crime, Drama, Thriller",N/A,8.1,"61,019",
Dirk Gently's Holistic Detective Agency,22 Oct 2016,"Action, Adventure, Comedy",59S min,8.1,"58,805",
Goliath,14 Oct 2016,Drama,60 min,8.1,"59,606",
One Day,19 Aug 2011,"Drama, Romance",107 min,7.0,"172,632","$13,843,771"
The Great,15 May 2020,"Biography, Comedy, Drama",1 min,8.1,"59,402",
The Righteous Gemstones,18 Aug 2019,"Comedy, Drama",36 min,8.1,"56,108",
Workaholics,06 Apr 2011,Comedy,1 min,8.1,"57,244",
Parasyte: The Maxim,31 Dec 2016,"Animation, Action, Drama",22 min,8.3,"53,147",
Power,07 Jun 2014,"Crime, Drama",50 min,8.1,"55,861",
Taaza Khabar,06 Jan 2023,"Action, Comedy, Drama",N/A,8.1,"54,648",
Hacks,13 May 2021,"Comedy, Drama",N/A,8.2,"54,213",
The League,29 Oct 2009,"Comedy, Sport",22 min,8.2,"53,039",
The Promised Neverland,14 Apr 2019,"Animation, Action, Adventure",23 min,8.2,"52,514",
Tokyo Vice,07 Apr 2022,"Crime, Drama, Thriller",N/A,8.1,"52,799",
Jury Duty,07 Apr 2023,Comedy,N/A,8.2,"50,192",
The Golden Girls,14 Sep 1985,"Comedy, Drama",30 min,8.2,"50,119",
Final Space,26 Feb 2018,"Animation, Action, Adventure",30 min,8.2,"49,724",
Bad Sisters,19 Aug 2022,"Comedy, Drama, Thriller",N/A,8.2,"50,062",
Young Royals,01 Jul 2021,"Drama, Romance",N/A,8.2,"46,207",
Animal Kingdom,03 Jun 2010,"Crime, Drama, Thriller",113 min,7.2,"61,973","$1,044,039"
The Kominsky Method,16 Nov 2018,"Comedy, Drama",2 min,8.2,"45,712",
Abbott Elementary,07 Dec 2021,Comedy,N/A,8.2,"45,293",
Black Clover,03 Oct 2017,"Animation, Action, Adventure",24 min,8.2,"42,268",
Party Down,20 Mar 2009,"Comedy, Drama",30 min,8.2,"38,281",
Quantum Leap,26 Mar 1989,"Action, Adventure, Drama",60 min,8.2,"38,062",
The Glory,30 Dec 2022,"Drama, Mystery, Thriller",N/A,8.1,"37,163",
Dexter: Original Sin,13 Dec 2024,"Crime, Drama, Mystery",N/A,8.2,"35,739",
Victoria,11 Jun 2015,"Crime, Drama, Romance",138 min,7.6,"65,366",N/A
Rogue Heroes,30 Oct 2022,"Action, Drama, Thriller",N/A,8.2,"32,268",
Winning Time: The Rise of the Lakers Dynasty,06 Mar 2022,"Biography, Drama, Sport",N/A,8.3,"31,001",
The Dragon Prince,14 Sep 2018,"Animation, Action, Adventure",1 min,8.3,"30,492",
Time,17 Aug 2021,"Crime, Drama",N/A,8.2,"29,502",
Love Doesn't Understand Words,15 Jun 2016,"Comedy, Romance",68 min,8.2,"25,407",
College Romance,01 Oct 2019,"Comedy, Drama, Romance",2 min,8.3,"28,897",
Shetland,10 Mar 2013,"Crime, Drama, Mystery",60 min,8.3,"28,867",
Rescue Me,21 Jul 2004,"Comedy, Drama",42 min,8.3,"28,694",
Feud,05 Mar 2017,"Biography, Drama",406 min,8.3,"28,615",
Rectify,22 Apr 2013,Drama,1 min,8.3,"28,070",
Olive Kitteridge,02 Nov 2014,Drama,1 min,8.3,"27,018",
Key and Peele,31 Jan 2012,Comedy,30 min,8.3,"26,745",
Reservation Dogs,09 Aug 2021,"Comedy, Crime",N/A,8.3,"25,989",
Dragon Ball Z Kai,05 Apr 2009,"Animation, Action, Adventure",1 min,8.3,"25,721",
Studio 60 on the Sunset Strip,18 Sep 2006,"Comedy, Drama",44 min,8.3,"25,435",
Hometown Cha-Cha-Cha,28 Aug 2021,"Comedy, Drama, Romance",N/A,8.3,"23,184",
Gurren Lagann,01 Apr 2007,"Animation, Action, Adventure",24 min,8.3,"23,347",
Northern Exposure,12 Jul 1990,"Comedy, Drama",60 min,8.4,"23,560",
Invader ZIM,30 Mar 2001,"Animation, Action, Adventure",1 min,8.4,"23,309",
Welcome to Wrexham,24 Aug 2022,"Documentary, Reality-TV, Sport",N/A,8.3,"22,586",
Jane Eyre,22 Apr 2011,"Drama, Mystery, Romance",120 min,7.3,"94,702","$11,242,660"
Police Squad!,04 Mar 1982,"Comedy, Crime",24 min,8.4,"22,131",
Wayne,16 Jan 2019,"Action, Comedy, Drama",30 min,8.3,"21,722",
Doc Martin,01 Jan 2004,"Comedy, Drama, Romance",46 min,8.4,"21,588",
Kaiju No. 8,13 Apr 2024,"Animation, Action, Adventure",N/A,8.3,"21,830",
Heartland,14 Oct 2007,"Drama, Family",45 min,8.4,"21,102",
The Spectacular Spider-Man,01 Mar 2008,"Animation, Action, Adventure",1 min,8.4,"21,145",
This Is Going to Hurt,02 Jun 2022,"Biography, Comedy, Drama",N/A,8.4,"19,527",
Trollhunters: Tales of Arcadia,23 Dec 2016,"Animation, Action, Adventure",23 min,8.4,"20,188",
The New Batman Adventures,13 Sep 1997,"Animation, Action, Adventure",30 min,8.4,"20,093",
All in the Family,12 Jan 1971,"Comedy, Drama",N/A,8.4,"19,747",
Roots,23 Jan 1977,"Biography, Drama, History",588 min,8.4,"19,184",
My Mad Fat Diary,14 Jan 2013,"Comedy, Drama, Romance",47 min,8.4,"19,235",
The Andy Griffith Show,03 Oct 1960,"Comedy, Family",30 min,8.4,"18,038",
Horace and Pete,30 Jan 2016,"Comedy, Drama",67 min,8.5,"17,851",
Scenes from a Marriage,12 Sep 2021,Drama,N/A,8.1,"30,678",
Chef's Table,26 Apr 2015,"Documentary, Biography",50 min,8.5,"17,345",
The Ricky Gervais Show,19 Feb 2010,"Animation, Comedy, Talk-Show",30 min,8.4,"17,259",
Yu Yu Hakusho: Ghost Files,10 Oct 1992,"Animation, Action, Adventure",24 min,8.5,"17,250",
Broken But Beautiful,27 Nov 2018,"Drama, Romance",22 min,8.5,"17,221",
Flower of Evil,28 Jul 2020,"Crime, Mystery, Romance",31S min,8.5,"16,256",
Detective Conan,08 Jan 1996,"Animation, Action, Comedy",25 min,8.5,"16,575",
The Defiant Ones,27 Sep 1958,"Crime, Drama",96 min,7.6,"18,917",N/A
The Prisoner,01 Jun 1968,"Drama, Mystery, Sci-Fi",1 min,8.5,"15,437",
Pantheon,01 Sep 2022,"Animation, Action, Adventure",N/A,8.5,"16,041",
House of Cards,01 Feb 2013,Drama,51 min,8.6,"547,637",
Mushi-Shi,23 Oct 2005,"Animation, Drama, Fantasy",25 min,8.5,"15,428",
Summer Heights High,09 Nov 2008,"Comedy, Drama, Family",30 min,8.5,"15,399",
Hilda,21 Sep 2018,"Animation, Adventure, Drama",1 min,8.6,"15,159",
Mouse,01 Feb 2021,"Action, Crime, Mystery",1 min,8.6,"13,390",
The Apothecary Diaries,21 Oct 2023,"Animation, Drama, History",N/A,8.5,"14,611",
The Great British Baking Show,27 Dec 2014,"Game-Show, Reality-TV",1 min,8.6,"14,178",
Sixer,11 Nov 2022,"Drama, Sport",N/A,8.5,"14,185",
From the Earth to the Moon,05 Apr 1998,"Action, Drama, History",2 min,8.6,"13,523",
"Yes, Prime Minister",09 Jan 1986,Comedy,30 min,8.6,"13,484",
Moon Lovers: Scarlet Heart Ryeo,29 Aug 2016,"Action, Drama, Fantasy",60 min,8.6,"13,497",
Mr. Queen,15 Feb 2022,"Comedy, Fantasy, Romance",70 min,8.6,"11,939",
The Untamed,25 Jun 2019,"Action, Adventure, Drama",50 min,8.7,"11,351",
Greatest Events of WWII in Colour,24 Jun 2019,"Documentary, History, War",50 min,8.6,"11,729",
Content Cop,13 Dec 2015,"Comedy, Crime, Talk-Show",20 min,8.7,"12,619",
Mr. Sunshine,07 Jul 2018,"Action, Drama, Romance",1 min,8.7,"11,146",
Umbre,28 Dec 2014,"Crime, Drama, Thriller",1 min,8.7,"11,682",
Brass Eye,29 Jan 1997,Comedy,25 min,8.6,"12,156",
